測定者,SUSスコア,設問1,設問2,設問3,設問4,設問5,設問6,設問7,設問8,設問9,設問10,日時
2331033,62.5,3,2,3,3,4,1,3,3,2,1,05:19:58
2331015,87.5,5,1,4,2,5,1,4,2,4,1,05:29:57
2331084,77.5,4,1,4,2,5,1,4,2,4,4,05:38:56
2331068,77.5,3,1,3,1,5,1,4,2,2,1,05:48:11
2331036,90,5,1,5,1,5,1,5,1,1,1,05:59:19
2331703,60,4,5,2,1,5,1,2,5,4,1,06:15:06
2331164,92.5,5,1,5,4,5,1,5,1,5,1,06:33:58
TA-1,52.5,2,1,2,5,2,1,5,4,2,1,06:43:32
2331097,85,4,1,5,1,5,1,4,2,5,4,06:53:53
2331096,55,3,2,2,4,4,1,2,3,4,3,09:07:15
平均,74.00,3.80,1.60,3.50,2.40,4.50,1.00,3.80,2.50,3.30,1.80,
最大,92.50,5.00,5.00,5.00,5.00,5.00,1.00,5.00,5.00,5.00,4.00,
最小,52.50,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,
標準偏差,15.19,1.03,1.26,1.27,1.51,0.97,0.00,1.14,1.27,1.42,1.32,
分散,230.83,1.07,1.60,1.61,2.27,0.94,0.00,1.29,1.61,2.01,1.73,
